code collectivite,LIBGEO,dsu,dsr,dnp,solde_fpic,fsrif,perequations,recette_avantp,MONTANT,avantp_hab,apresp_hab
73257,Les Belleville,0,6204,0,0,0,6204,30186423.14,30192627.14,9842.329031626998,9844.351855233128
73258,Saint-Martin-de-la-Porte,0,0,0,0,0,0,1172651.9,1172651.9,1656.2879943502824,1656.2879943502824
73259,Saint-Martin-sur-la-Chambre,0,9296,0,0,0,9296,594518.11,603814.11,1069.2771762589928,1085.9966007194244
73260,NA,0,7716,0,0,0,7716,213157.87,220873.87,977.7883944954128,1013.1828899082568
73261,Saint-Michel-de-Maurienne,0,0,0,0,0,0,4348347.89,4348347.89,1607.522325323475,1607.522325323475
73262,Saint-Nicolas-la-Chapelle,0,12243,0,0,0,12243,613852.93,626095.93,1311.65155982906,1337.8118162393164
73263,Saint-Offenge,0,26677,4446,0,0,31123,1138599.23,1169722.23,1111.913310546875,1142.306865234375
73265,Saint-Ours,0,13662,12627,0,0,26289,546833.88,573122.88,866.61470681458,908.277147385103
73266,NA,0,2580,0,0,0,2580,180249.51,182829.51,794.0507048458151,805.4163436123348
73267,Saint-Pancrace,0,10690,10284,0,0,20974,445474.97,466448.97,1479.9832890365446,1549.6643521594683
73268,Saint-Paul-sur-Isère,0,17046,0,0,0,17046,596830.29,613876.29,1006.4591736930861,1035.2045362563238
73269,Saint-Paul,0,15149,606,0,0,15755,602471.47,618226.47,915.6101367781155,939.5539057750759
73270,Saint-Pierre-d'Albigny,0,254315,55085,0,0,309400,3507145.9,3816545.9,881.63547008547,959.4132478632479
73271,Saint-Pierre-d'Alvey,0,8217,6516,0,0,14733,207146.16,221879.16,761.5667647058824,815.7322058823529
73272,Saint-Pierre-de-Belleville,0,0,0,0,0,0,286611.68,286611.68,1628.4754545454546,1628.4754545454546
73273,Saint-Pierre-de-Curtille,0,11094,0,0,0,11094,438621.94,449715.94,906.2436776859504,929.1651652892562
73274,Saint-Pierre-d'Entremont,0,17703,0,0,0,17703,898051.5,915754.5,2093.36013986014,2134.625874125874
73275,Saint-Pierre-de-Genebroz,0,9120,0,0,0,9120,400657.54,409777.54,1144.7358285714286,1170.7929714285713
73276,Saint-Pierre-de-Soucy,0,11860,0,0,0,11860,395764.45,407624.45,926.8488290398127,954.6240046838408
73277,Sainte-Reine,0,6084,5679,0,0,11763,222958.85,234721.85,1438.4441935483871,1514.3345161290324
